,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
0,9.7,16.5,-99.0,7,0.0,2.7,60.0,1022.8
1,19.8,14.8,-99.0,8,-99.0,5.5,88.0,1024.1
2,9.7,15.3,102.1,9,0.0,2.7,99.0,-99.0
3,5.4,8.6,4.0,6,-99.0,1.5,84.0,1021.2
4,4.0,7.3,-99.0,8,0.0,1.1,96.0,1022.5
5,13.7,14.3,6.3,8,0.0,3.8,89.0,1022.7
6,-99.0,12.4,-99.0,0,0.1,-99.0,88.0,-99.0
7,9.0,19.3,42.4,3,0.0,2.5,69.0,-99.0
8,7.6,16.6,-99.0,3,0.0,2.1,87.0,1028.3
9,-99.0,15.3,121.4,0,0.0,-99.0,85.0,-99.0
10,-99.0,16.5,36.7,0,0.0,-99.0,77.0,-99.0
11,-99.0,6.5,215.8,0,0.0,-99.0,99.0,-99.0
12,23.4,9.6,164.4,4,0.0,6.5,90.0,-99.0
13,28.1,6.2,-99.0,2,0.0,7.8,100.0,-99.0
14,-99.0,4.4,-99.0,0,0.0,-99.0,100.0,-99.0
15,-99.0,12.1,169.9,0,0.1,-99.0,48.0,-99.0
16,2.9,14.4,-99.0,8,0.0,0.8,72.0,-99.0
17,12.6,17.8,-99.0,9,0.0,3.5,72.0,-99.0
18,-99.0,8.4,-99.0,0,0.0,-99.0,97.0,-99.0
19,27.7,10.8,-99.0,2,0.0,7.7,100.0,-99.0
20,13.3,11.2,336.3,6,0.0,3.7,100.0,-99.0
21,-99.0,16.1,91.3,0,0.0,-99.0,69.0,-99.0
22,8.3,19.8,-99.0,6,0.0,2.3,66.0,1026.5
23,3.2,14.8,-99.0,6,0.0,0.9,75.0,-99.0
24,4.0,18.3,-99.0,5,0.0,1.1,70.0,1027.1
25,20.9,9.5,0.2,8,0.3,5.8,100.0,1019.9
26,4.3,10.9,3.0,6,-99.0,1.2,84.0,1022.6
27,13.7,19.4,-99.0,3,0.0,3.8,61.0,1027.2
28,5.0,12.3,215.2,3,0.0,1.4,94.0,-99.0
29,10.4,10.7,-99.0,8,0.0,2.9,91.0,-99.0
30,-99.0,-99.0,0.0,0,-99.0,-99.0,93.0,-99.0
31,2.2,13.7,149.6,3,0.0,0.6,99.0,-99.0
32,4.3,11.9,0.0,7,-99.0,1.2,79.0,-99.0
33,14.8,10.5,0.0,8,-99.0,4.1,64.0,1020.5
34,2.5,7.7,-99.0,6,-99.0,0.7,87.0,-99.0
35,14.0,11.4,0.2,8,0.0,3.9,79.0,-99.0
36,4.7,9.4,0.0,0,0.0,1.3,84.0,-99.0
37,8.3,17.3,185.8,5,0.4,2.3,81.0,-99.0
38,12.2,7.3,-99.0,7,0.0,3.4,83.0,-99.0
39,27.4,17.0,152.6,3,0.0,7.6,84.0,-99.0
40,7.6,9.6,-99.0,7,0.0,2.1,87.0,-99.0
41,1.4,7.7,0.0,8,0.0,0.4,80.0,-99.0
42,7.2,11.0,0.0,8,-99.0,2.0,84.0,-99.0
43,3.6,10.8,0.2,1,0.0,1.0,84.0,-99.0
44,19.1,13.1,9.7,8,0.2,5.3,94.0,1022.9
45,34.2,5.0,1.8,8,0.0,9.5,100.0,-99.0
46,6.1,8.9,0.0,7,0.0,1.7,96.0,-99.0
47,-99.0,5.8,-99.0,0,0.0,-99.0,99.0,-99.0
48,7.6,11.0,0.3,4,0.0,2.1,73.0,-99.0
49,10.1,16.8,215.5,5,0.0,2.8,84.0,-99.0
50,5.0,11.7,19.8,8,0.0,1.4,95.0,-99.0
51,26.3,10.0,-99.0,8,0.0,7.3,65.0,-99.0
52,30.2,-99.0,-99.0,9,0.4,8.4,-99.0,1023.1
53,12.6,12.8,2.0,9,0.0,3.5,90.0,-99.0
54,2.5,11.5,0.8,8,0.0,0.7,-99.0,-99.0
55,8.3,11.9,3.2,7,0.0,2.3,92.0,-99.0
56,6.1,12.8,1.7,9,0.0,1.7,88.0,-99.0
57,10.1,13.6,0.6,7,0.1,2.8,95.0,-99.0
58,17.6,9.5,1.6,8,0.0,4.9,-99.0,-99.0
59,9.7,12.2,7.2,8,0.0,2.7,97.0,-99.0
60,10.8,16.2,309.5,5,0.0,3.0,82.0,-99.0
61,8.6,-99.0,41.5,8,0.1,2.4,-99.0,-99.0
62,12.6,13.0,4.8,8,0.1,3.5,100.0,1022.4
63,6.5,17.5,85.4,4,0.0,1.8,75.0,1035.5
64,11.9,18.3,341.8,4,0.0,3.3,71.0,1035.9
65,9.4,18.3,-99.0,2,0.0,2.6,80.0,1034.7
66,13.0,17.5,-99.0,2,0.0,3.6,81.0,1035.4
67,23.0,17.6,136.4,3,0.0,6.4,81.0,1035.8
68,9.0,18.1,387.3,3,0.0,2.5,76.0,-99.0
69,-99.0,17.4,-99.0,0,0.0,-99.0,80.0,1035.7
70,20.9,-99.0,171.0,3,0.0,5.8,-99.0,-99.0
71,21.6,19.3,-99.0,2,0.0,6.0,65.0,1027.6
72,5.4,19.8,119.2,2,0.0,1.5,62.0,-99.0
73,18.4,18.3,-99.0,1,0.0,5.1,72.0,1027.9
74,10.4,14.9,6.6,7,0.0,2.9,88.0,-99.0
75,5.0,10.8,0.0,7,0.1,1.4,87.0,-99.0
76,4.3,14.8,-99.0,8,0.0,1.2,84.0,-99.0
77,11.9,14.9,12.4,8,0.0,3.3,85.0,-99.0
78,7.6,10.0,-99.0,7,0.0,2.1,86.0,-99.0
79,7.6,8.9,-99.0,6,-99.0,2.1,94.0,-99.0
80,-99.0,9.1,-99.0,0,-99.0,-99.0,78.0,-99.0
81,-99.0,4.5,-99.0,0,-99.0,-99.0,100.0,-99.0
82,11.9,5.8,-99.0,8,-99.0,3.3,100.0,-99.0
83,54.4,8.9,4.8,9,0.3,15.1,100.0,-99.0
84,-99.0,6.2,-99.0,0,-99.0,-99.0,100.0,-99.0
85,15.1,12.1,4.4,7,0.0,4.2,98.0,1021.7
86,15.5,7.6,0.0,8,0.0,4.3,94.0,-99.0
87,-99.0,-99.0,0.2,7,0.0,-99.0,-99.0,-99.0
