D/H Sample,ID,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
2021-11-22T23:00,1200535,5.4,10.2,0.0,7.0,0.0,1.5,74.0,1013.9
2021-11-23T00:00,1200535,10.1,9.9,0.0,9.0,0.0,2.8,77.0,1013.8
2021-11-23T01:00,1200535,7.9,9.9,0.0,8.0,0.0,2.2,74.0,1013.6
2021-11-23T02:00,1200535,9.0,9.9,0.0,8.0,0.0,2.5,74.0,1013.4
2021-11-23T03:00,1200535,5.4,9.8,0.0,9.0,0.0,1.5,74.0,1013.5
2021-11-23T04:00,1200535,5.4,9.2,0.0,7.0,0.0,1.5,77.0,1013.2
2021-11-23T05:00,1200535,8.6,9.1,0.0,8.0,0.0,2.4,80.0,1013.0
2021-11-23T06:00,1200535,11.2,9.8,0.0,8.0,0.0,3.1,78.0,1012.8
2021-11-23T07:00,1200535,8.6,10.1,0.0,9.0,0.0,2.4,75.0,1013.1
2021-11-23T08:00,1200535,9.0,10.4,36.0,9.0,0.0,2.5,76.0,1013.1
2021-11-23T09:00,1200535,19.1,11.4,436.2,9.0,0.0,5.3,71.0,1013.6
2021-11-23T10:00,1200535,18.7,12.9,1014.9,9.0,0.0,5.2,63.0,1013.9
2021-11-23T11:00,1200535,19.4,14.6,1472.8,9.0,0.0,5.4,56.0,1014.2
2021-11-23T12:00,1200535,18.4,15.1,1781.8,1.0,0.0,5.1,52.0,1014.3
2021-11-23T13:00,1200535,11.9,15.6,1858.5,8.0,0.0,3.3,50.0,1013.8
2021-11-23T14:00,1200535,17.6,16.1,1720.0,8.0,0.0,4.9,48.0,1013.3
2021-11-23T15:00,1200535,18.7,15.5,1223.9,1.0,0.0,5.2,48.0,1013.3
2021-11-23T16:00,1200535,18.7,14.6,960.1,9.0,0.0,5.2,47.0,1013.7
2021-11-23T17:00,1200535,18.4,13.9,394.1,1.0,0.0,5.1,49.0,1014.3
2021-11-23T18:00,1200535,11.2,12.9,16.8,1.0,0.0,3.1,54.0,1015.1
2021-11-23T19:00,1200535,11.2,12.5,0.0,1.0,0.0,3.1,61.0,1015.5
2021-11-23T20:00,1200535,9.7,12.0,0.0,9.0,0.0,2.7,65.0,1015.9
2021-11-23T21:00,1200535,5.0,11.3,0.0,6.0,0.0,1.4,69.0,1016.3
2021-11-23T22:00,1200535,9.0,10.7,0.0,8.0,0.0,2.5,73.0,1016.7
2021-11-24T00:00,1200535,7.9,10.7,0.0,6.0,0.0,2.2,82.0,1017.0
2021-11-24T01:00,1200535,9.4,10.2,0.0,7.0,0.0,2.6,85.0,1016.7
2021-11-24T02:00,1200535,9.7,10.3,0.0,9.0,0.0,2.7,86.0,1016.5
2021-11-24T03:00,1200535,7.6,11.4,0.0,9.0,0.0,2.1,83.0,1016.6
2021-11-24T04:00,1200535,4.3,11.2,0.0,7.0,0.0,1.2,81.0,1016.6
2021-11-24T05:00,1200535,4.7,10.5,0.0,8.0,0.0,1.3,84.0,1016.5
2021-11-24T06:00,1200535,3.6,10.2,0.0,8.0,0.0,1.0,85.0,1016.7
2021-11-24T07:00,1200535,5.4,10.5,0.0,7.0,0.0,1.5,84.0,1016.8
2021-11-24T08:00,1200535,5.0,10.2,40.9,8.0,0.0,1.4,83.0,1017.0
2021-11-24T09:00,1200535,6.1,11.0,356.9,8.0,0.0,1.7,80.0,1017.4
2021-11-24T10:00,1200535,11.5,12.8,925.3,1.0,0.0,3.2,71.0,1017.7
